"concentration","sample","SequencingCenter","tissue_or_organ_of_origin","TCGA.code","platform","tissue_source_site","ffpe.status","file_id.expression","artbatch"
0.15,"39d14940-aa6a-4833-bbd8-201d595313fb","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"abb538a8-9db4-44f7-aeac-506941106c29","Memorial Sloan KetteringFALSE"
0.16,"8c4968f7-3cc0-44d7-9e86-06cc227857ca","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"d42bcb39-68c7-4dee-bd21-ef54371c5d3a","Memorial Sloan KetteringFALSE"
0.17,"f1254832-1819-4141-bf57-71a95a963fb2","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"054b1986-4a5e-49d5-b883-a1a42cb8740b","Memorial Sloan KetteringFALSE"
0.15,"c1ecfaee-e273-4a93-a34a-d32dcae13f72","UNC","Main bronchus","SARC","Illumina","ABS - IUPUI",FALSE,"1fe41d87-34e5-4eaf-8c4a-97c9d8dca1b9","ABS - IUPUIFALSE"
0.17,"328c3d53-c984-4f3d-ac4f-6d3b1e98bcf1","UNC","Upper lobe, lung","SARC","Illumina","University of North Carolina",FALSE,"aa9ce788-eaec-449a-a59d-14a3b5f1a186","University of North CarolinaFALSE"
0.17,"3d5b423e-9246-439a-a705-55bc2c6b62c8","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"1720402f-9b82-44bb-8a48-9a1c0dc3b169","Memorial Sloan KetteringFALSE"
0.17,"788dfeff-f971-433f-85c8-3299da80f873","UNC","Lung, NOS","SARC","Illumina","Memorial Sloan Kettering",FALSE,"9f2b96c0-1483-49a7-94ee-d7e73b25148a","Memorial Sloan KetteringFALSE"
0.17,"577ccd9f-c93d-4a7b-9ce6-c34447f7b7d1","UNC","Upper lobe, lung","SARC","Illumina","Montefiore Medical Center",FALSE,"c9185497-a822-4011-bbd9-289104e79d6f","Montefiore Medical CenterFALSE"
0.18,"00550fd7-4d99-4c66-9920-18309c0741e4","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"eae41b77-8a83-4402-8436-48a93fd30f5f","Memorial Sloan KetteringFALSE"
0.15,"85482eb0-c89f-4e6d-aafe-f67695f200ee","UNC","Lower lobe, lung","SARC","Illumina","University of Pittsburgh",FALSE,"64012440-3649-411e-a35f-b6026262a207","University of PittsburghFALSE"
0.16,"8d693281-aae3-4d20-93fe-b426c9573558","UNC","Lower lobe, lung","SARC","Illumina","Washington University St. Louis",FALSE,"54059775-7e80-4b2e-9796-d897348a57bd","Washington University St. LouisFALSE"
0.16,"7e9780f8-237d-451f-bf6e-3b80fdd8f952","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"b3c9cdf7-203b-4a66-a3a3-cc3c0c0aee32","Memorial Sloan KetteringFALSE"
0.16,"15ad8b4a-3b18-4c4d-97d1-bfcc2ca6b4c7","UNC","Lower lobe, lung","SARC","Illumina","University of Iowa",FALSE,"8f2e7e0d-80f8-4c3c-bc3f-321e8535d8b5","University of IowaFALSE"
0.16,"40cda8aa-cde6-4851-9dff-0f259a733b5e","UNC","Upper lobe, lung","SARC","Illumina","University of Texas MD Anderson Cancer Center",FALSE,"0a3e6765-8ed2-488d-a064-8372c5f61c8f","University of Texas MD Anderson Cancer CenterFALSE"
0.16,"25b6ec92-defa-4492-89d9-b15443264bfe","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"05c59d32-f167-417c-abce-badaaa9b40e4","Memorial Sloan KetteringFALSE"
0.18,"600e35e4-9881-4e64-88de-8eb82319f5be","UNC","Upper lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"267c0844-eeac-482c-9ebb-042237516b24","Moffitt Cancer CenterFALSE"
0.16,"24f6f119-7000-4927-9526-3bc99b248c9d","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"d18496d8-715e-4ba5-bb35-eff1d9ae1629","Memorial Sloan KetteringFALSE"
0.17,"e9fc3850-e4f3-46a5-8b4f-0d600d352cba","UNC","Lung, NOS","SARC","Illumina","Emory University",FALSE,"74cdbee2-a75a-4b3b-b022-cdd315c0b74d","Emory UniversityFALSE"
0.17,"c0d222b9-6e65-405c-8924-fc66ddae775e","UNC","Lower lobe, lung","SARC","Illumina","Roswell Park",FALSE,"3a846981-d1f7-45ce-9937-49850b2eb201","Roswell ParkFALSE"
0.17,"4c474162-d872-4420-89fa-ce5c2aad68c8","UNC","Upper lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"c4a1c83b-8bb1-49de-bb4b-f58676e94f84","Moffitt Cancer CenterFALSE"
0.18,"13073bd3-bf31-473b-8e74-f8ac3e81fd9f","UNC","Upper lobe, lung","SARC","Illumina","University of Texas MD Anderson Cancer Center",FALSE,"26afc34e-493c-4a43-9727-fca71126e20b","University of Texas MD Anderson Cancer CenterFALSE"
0.18,"18702020-7fcc-4e06-9dd4-b28cb9c73f69","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"25055bf4-23ef-498e-ad3b-ec5641d7652d","Memorial Sloan KetteringFALSE"
0.16,"a69e38ab-3232-4bd8-8b7d-a6af50a6aa4d","UNC","Upper lobe, lung","SARC","Illumina","ABS - IUPUI",FALSE,"cb849ac4-3f3b-4056-aadb-34a7118a00cb","ABS - IUPUIFALSE"
0.15,"c6ff0afa-a933-4a48-acc7-62f61a31c311","UNC","Upper lobe, lung","SARC","Illumina","Cureline",FALSE,"860d7982-25a4-4102-9cc7-d3a3011ec90c","CurelineFALSE"
0.18,"ba0d332a-4ca1-48dc-baee-a28690134dca","UNC","Lower lobe, lung","SARC","Illumina","Cureline",FALSE,"34298aec-ce8c-4554-85ca-e8304861b841","CurelineFALSE"
0.18,"fa1ddcea-ad9f-4761-b0d3-8f2677f8ef58","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"6d99b7a9-fc56-4a7c-9d9d-65bfecb23da1","Memorial Sloan KetteringFALSE"
0.17,"21eaa7d3-f91a-4aaf-879a-81d38f53f219","UNC","Upper lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"067cf700-c17c-4a7e-8705-9dab8d57474f","Moffitt Cancer CenterFALSE"
0.18,"78ab5380-6ce7-4e45-b45c-788a6fc257e3","UNC","Lower lobe, lung","SARC","Illumina","International Genomics Consortium",FALSE,"efff5fa4-2d0c-4660-8530-d46ffa45ad60","International Genomics ConsortiumFALSE"
0.16,"8deffeb7-f1c6-4183-b3a7-c0db9c65b1c9","UNC","Upper lobe, lung","SARC","Illumina","University of Iowa",FALSE,"14a7dc8b-16c9-4ae6-83d0-c89d46c7dc93","University of IowaFALSE"
0.18,"c6f44d33-fe3d-42b9-bd77-0a0c42ce868a","UNC","Upper lobe, lung","SARC","Illumina","Washington University St. Louis",FALSE,"a8887703-c49d-47ab-b16b-7ed08b0b4fec","Washington University St. LouisFALSE"
0.17,"e137a440-3c0c-40ae-9944-077e37d37409","UNC","Upper lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"095f8ccb-1b99-40c0-87b9-4eb3e2a939b4","Moffitt Cancer CenterFALSE"
0.17,"843ade43-498e-4d79-99e2-279e0eb0d99b","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"8ea07c16-001a-4480-addc-01a3be8a75f8","Memorial Sloan KetteringFALSE"
0.16,"b235191c-a322-46fe-b982-8ef2b70bd1f1","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"b6ed61a4-0f7d-402d-809d-b56f9496814e","Memorial Sloan KetteringFALSE"
0.17,"cc3bc01a-096e-4a31-a17c-5705657e513e","UNC","Lung, NOS","SARC","Illumina","University of Iowa",FALSE,"322514bd-77bc-4509-b38d-7db992bacc60","University of IowaFALSE"
0.17,"b64c4728-08ca-42fb-9736-099ee110f477","UNC","Lower lobe, lung","SARC","Illumina","Washington University St. Louis",FALSE,"bec13ddf-514e-4a1c-ae22-4f592ba94859","Washington University St. LouisFALSE"
0.15,"677699ff-77e7-44b2-832d-3c0b5054e9f9","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"10dfd518-b72e-45c1-8040-eb0b01009144","Memorial Sloan KetteringFALSE"
0.17,"3acf730e-87c9-4216-9711-4cdc6386451a","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"effa13b3-b851-4f63-8f61-e300bb5eda30","Memorial Sloan KetteringFALSE"
0.15,"c4c0e280-8c2f-4974-b7fd-899e9f8fd7ab","UNC","Upper lobe, lung","SARC","Illumina","University of Texas MD Anderson Cancer Center",FALSE,"c003334e-9202-4bf1-a764-d93d4009e899","University of Texas MD Anderson Cancer CenterFALSE"
0.16,"432f063f-8ea9-49d7-8466-2dd46667142f","UNC","Upper lobe, lung","SARC","Illumina","Brigham and Women's Hospital",FALSE,"1a72cfbb-b055-4a7d-b4e4-be8af58f6185","Brigham and Women's HospitalFALSE"
0.17,"7c83b381-edfb-4b5d-9021-6d92986e8d6b","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"995ed84a-a0bf-4e6d-95c8-44c00b03d28b","Memorial Sloan KetteringFALSE"
0.15,"7b2d5035-3573-4b05-ba65-bdcbbc8db57d","UNC","Middle lobe, lung","SARC","Illumina","University of Minnesota",FALSE,"81038aa6-3603-4680-bece-e9b03da4a022","University of MinnesotaFALSE"
0.18,"e980736f-a5ed-410d-9799-58207f9f0324","UNC","Lower lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"dde6619c-ab39-4b52-931d-4673d7528de9","Moffitt Cancer CenterFALSE"
0.17,"72c96319-fc2b-44bd-aa7b-1526fb37ebd5","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"722921df-1443-4aa7-bdff-db16442662af","Memorial Sloan KetteringFALSE"
0.16,"549e405c-0cb5-41ad-bca5-3342940147f4","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"408fc243-bedd-4638-8522-a2f0f958da23","Memorial Sloan KetteringFALSE"
0.16,"677d9ef5-9f33-45b1-8efb-10c76b429142","UNC","Upper lobe, lung","SARC","Illumina","Cleveland Clinic Foundation",FALSE,"2132a5d7-8947-43ea-957c-6e2afc83ac1e","Cleveland Clinic FoundationFALSE"
0.16,"faafab8f-eb88-437c-9e09-0e5695126ffd","UNC","Lung, NOS","SARC","Illumina","Memorial Sloan Kettering",FALSE,"78753779-2183-41f5-9ca9-ef531d533d93","Memorial Sloan KetteringFALSE"
0.17,"d88aaa2c-0dcc-4876-aeb6-950c2c6cada9","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"7c90ec60-5fc3-4632-b3f8-3b83089cbe51","Memorial Sloan KetteringFALSE"
0.16,"50faba46-a493-4aba-9971-28e37c41ea1c","UNC","Lower lobe, lung","SARC","Illumina","Fox Chase",FALSE,"9b52912e-af90-4d61-a589-c7410f55103c","Fox ChaseFALSE"
0.18,"ea4346d3-cf62-4732-a912-402578b93351","UNC","Overlapping lesion of lung","SARC","Illumina","University of Iowa",FALSE,"f358eeb0-6fde-4dd8-8981-ab7ae3919d95","University of IowaFALSE"
0.16,"49d6da7f-46a2-447e-8fb7-363628f2f3ea","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"b2fd7c65-5805-45ff-9bc5-9ddc8fa222af","Memorial Sloan KetteringFALSE"
0.17,"0b8d43ad-a3de-4987-96a9-354f5bbe5d6e","UNC","Lung, NOS","SARC","Illumina","Memorial Sloan Kettering",FALSE,"512bad62-30c5-4f45-94cf-cee2bd315d4f","Memorial Sloan KetteringFALSE"
0.15,"75981013-9acb-4f12-958d-a683e96d160f","UNC","Lower lobe, lung","SARC","Illumina","Roswell Park",FALSE,"c58c14ea-5d5b-4f42-9b5c-58df76edb524","Roswell ParkFALSE"
0.15,"70fe59f6-40f9-4759-8c0a-98e18197d45f","UNC","Lung, NOS","SARC","Illumina","Cedars Sinai",FALSE,"5d8422df-2388-4118-963e-6cc7538f2e6f","Cedars SinaiFALSE"
0.18,"5ffbd5b7-734d-4be3-b6d6-3fcd50feca39","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"1a4d2329-84d9-4737-90bc-52eb3f0ca7a6","Memorial Sloan KetteringFALSE"
0.18,"20b06ecf-c191-4e1d-86c6-933baa2ac248","UNC","Lower lobe, lung","SARC","Illumina","St. Joseph's Hospital AZ",FALSE,"b62764d8-8b99-4fd3-bfb1-11d40e406198","St. Joseph's Hospital AZFALSE"
0.17,"757c53ed-e03d-4131-b417-a4cceb9c7604","UNC","Lower lobe, lung","SARC","Illumina","Fox Chase",FALSE,"0fd6a234-03a0-4781-8f20-330e25403e3f","Fox ChaseFALSE"
0.16,"8b1a7c39-2e39-4d05-b253-beb0c845a701","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"0b5462ec-e757-40a8-99cc-ffe48d230dc7","Memorial Sloan KetteringFALSE"
0.17,"6ccefcda-34a7-4fea-b849-4793fb9830e7","UNC","Lower lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"62562adc-272f-467e-ab85-39afba967fe4","Memorial Sloan KetteringFALSE"
0.16,"3f77739b-38aa-40e9-9c24-132aec493ed7","UNC","Upper lobe, lung","SARC","Illumina","ABS - IUPUI",FALSE,"1275efd6-83e7-44a4-85a5-bdf44fb0d2c5","ABS - IUPUIFALSE"
0.16,"1c75daee-bd46-4d6a-ab1d-5a0c3508b82b","UNC","Overlapping lesion of lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"34ff99a3-12d5-4019-be29-fae17a39707b","Memorial Sloan KetteringFALSE"
0.16,"dbce24ab-1a72-4f29-a30b-81a9e6e3cee4","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"c6fef94c-f2ce-483b-bad8-602cac3e05c5","Memorial Sloan KetteringFALSE"
0.16,"25bac78d-f3f9-4ee3-9a95-549f862fbdcb","UNC","Upper lobe, lung","SARC","Illumina","Memorial Sloan Kettering",FALSE,"e8042a9b-43c5-4576-bc73-7413d5b1baac","Memorial Sloan KetteringFALSE"
0.15,"3126ab4e-71d3-4570-862c-9b9b0ce68085","UNC","Upper lobe, lung","SARC","Illumina","University of Pittsburgh",FALSE,"08a6ea88-5439-45ea-b509-351328eb6a78","University of PittsburghFALSE"
0.15,"df3d7d78-dc64-4e5f-b05f-1a6cd5dc0453","UNC","Lower lobe, lung","SARC","Illumina","BLN - Baylor",FALSE,"c86b0470-0a79-4411-84ac-d404a0947049","BLN - BaylorFALSE"
0.17,"52915c1f-7427-46a9-9044-eb311584c155","UNC","Upper lobe, lung","SARC","Illumina","Mount Sinai School of Medicine",FALSE,"ff5c13bd-f0c2-4dc4-8554-0bf90bc6b144","Mount Sinai School of MedicineFALSE"
0.17,"09f61c65-c67a-46f3-ae19-3b7c9c900dbb","UNC","Lower lobe, lung","SARC","Illumina","Moffitt Cancer Center",FALSE,"78a23554-1278-493f-97d5-c879991859c7","Moffitt Cancer CenterFALSE"
0.15,"091b9af1-ea47-4cdc-9212-b5d75f47a549","UNC","Connective, subcutaneous and other soft tissues of abdomen","COAD","Illumina","MSKCC",FALSE,"4a06293c-8c21-4c5f-806a-dfc16e970249","MSKCCFALSE"
0.18,"1ba88783-3486-4ecc-98a5-1a99eaccd77c","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"37acf5f7-bfb5-4c5b-80eb-f21e257ad546","Christiana HealthcareFALSE"
0.15,"d6d4ea90-7a3b-4e33-803c-ea67f9b70d39","UNC","Sigmoid colon","COAD","Illumina","Asterand",FALSE,"1eb9fc2c-7cf0-4083-a4db-c2a93ae73ba9","AsterandFALSE"
0.15,"4e73fb48-52dd-4be1-acc2-e42ed80a6a7a","UNC","Colon, NOS","COAD","Illumina","University of Pittsburgh",FALSE,"f1c3b11c-5c4e-4961-aa3b-92d7a73298c2","University of PittsburghFALSE"
0.17,"06921a3a-5c30-4fb0-8ed0-347f51af459d","UNC","Ascending colon","COAD","Illumina","Duke University",FALSE,"96e57b73-14af-45f4-bc0a-52088e8ea48f","Duke UniversityFALSE"
0.15,"fef3e110-f837-4d6d-9937-17db17417017","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","Indivumed",FALSE,"0096f6b3-94f5-49d9-aa43-66d9ab6b2b5c","IndivumedFALSE"
0.17,"1a94f63b-3832-4150-8951-e907d36a1d19","UNC","Cecum","COAD","Illumina","Candler",FALSE,"096c43df-fa92-4b3c-a336-b07bc7feb075","CandlerFALSE"
0.15,"4b440453-3a8d-4c8a-a83c-e44cbd6db6f4","UNC","Retroperitoneum","COAD","Illumina","ILSBio",FALSE,"2a798f67-1c22-4768-a278-101f0927c414","ILSBioFALSE"
0.14,"5db91964-ded0-4fa0-abf6-815d8d18d1a6","UNC","Ascending colon","COAD","Illumina","Christiana Healthcare",FALSE,"9e8391e3-ad4b-4c3b-a3b0-491f0e7f70bc","Christiana HealthcareFALSE"
0.18,"32f245e6-08bf-4133-97aa-a2a38fb3f0f9","UNC","Rectosigmoid junction","COAD","Illumina"," Medical College of Georgia",FALSE,"ae11f137-e425-4a83-9807-34fbe44683a5"," Medical College of GeorgiaFALSE"
0.15,"32306d12-f10b-4558-9c7f-043c3ae1e3aa","UNC","Hepatic flexure of colon","COAD","Illumina","MSKCC",FALSE,"52c313fc-4682-47a9-a596-ed814d65fa25","MSKCCFALSE"
0.15,"b80f2f67-842c-4b6d-9b8c-936c6f03ac96","UNC","Descending colon","COAD","Illumina","University of Sao Paulo",FALSE,"c1f67724-0190-47d7-a9b7-cf07ac7906cc","University of Sao PauloFALSE"
0.17,"619f0e76-92e5-4a03-a4c9-a12abee4bbdc","UNC","Rectum, NOS","COAD","Illumina","Candler",FALSE,"b0a08eb5-b6eb-4f66-a707-0316d68076fe","CandlerFALSE"
0.15,"06ed2ad9-5fbb-4401-8d1e-ed2d3814d7eb","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"5fcff156-0895-4092-99bc-af8a2b35e977","IndivumedFALSE"
0.14,"acca3d70-03ef-40da-84dc-07fccb019e7e","UNC","Rectum, NOS","COAD","Illumina","Indivumed",FALSE,"b8b086e1-02fc-4c95-878a-810d477eb1be","IndivumedFALSE"
0.16,"90832632-cf57-463b-9d08-c76975066f56","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"0be16d47-97ee-4aed-a227-3435862f1c70","Christiana HealthcareFALSE"
0.15,"f224fdff-35a7-414e-a75c-b0024c328742","UNC","Colon, NOS","COAD","Illumina","Indivumed",FALSE,"6f167a60-9f75-4a41-8cb6-3ff524924c92","IndivumedFALSE"
0.14,"b4b665cc-4090-4116-972b-49815987923f","UNC","Colon, NOS","COAD","Illumina","Greater Poland Cancer Center",FALSE,"0774f707-98a3-42d3-94cf-5a5591c1fec9","Greater Poland Cancer CenterFALSE"
0.16,"babb54ab-021f-4265-bb2b-2b81b3db4421","UNC","Sigmoid colon","COAD","Illumina","University Of Michigan",FALSE,"5bea4ef9-e295-4463-a4d7-f40b1f628012","University Of MichiganFALSE"
0.15,"85ab069a-51ec-42ed-8e01-3f41791dc3b1","UNC","Cecum","COAD","Illumina","Christiana Healthcare",TRUE,"9c1d5bca-13ae-4491-871c-1c333b7baf5b","Christiana HealthcareTRUE"
0.17,"0bb6ebea-c350-481b-8001-e1205479f3c0","UNC","Sigmoid colon","COAD","Illumina","International Genomics Consortium",FALSE,"eb843ddf-f91d-4f04-b34c-549b1f53ee92","International Genomics ConsortiumFALSE"
0.15,"7b0908c3-8bca-49ff-b157-5de397f8b0bd","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"818bc00a-614f-4408-91d4-3a5b69d7ab31","IndivumedFALSE"
0.14,"32ba9767-5581-4bfb-a504-07b2df818e10","UNC","Rectum, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"388e5eda-c285-4466-ab3d-ed4f519e61eb","Christiana HealthcareFALSE"
0.14,"95c3c16e-9110-441a-b2dd-186e2fb5fb04","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"e6a8afea-f7c3-41e7-9bf5-cf4d7553c376","Christiana HealthcareFALSE"
0.15,"6491c24d-93a1-42e4-8317-4999aaa264b8","UNC","Ascending colon","COAD","Illumina","Christiana Healthcare",FALSE,"24c0b854-79c3-436a-87a7-4d0bbfac626a","Christiana HealthcareFALSE"
0.15,"9d537202-d436-48de-8ee8-2d417576705f","UNC","Rectum, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"dcb4c51d-3979-4ebd-82a7-383dc1c33238","Christiana HealthcareFALSE"
0.14,"4c02520f-4d63-4903-9606-2537019dc1d7","UNC","Ascending colon","COAD","Illumina","University of Pittsburgh",FALSE,"5f4589dc-17d9-4237-bacd-092ce1d80f7b","University of PittsburghFALSE"
0.14,"b06ba18a-887c-4e44-bb1f-3e7e33ec0e3a","UNC","Transverse colon","COAD","Illumina","Roswell Park",FALSE,"b39411a3-9c73-418c-8160-cc777e5fbb10","Roswell ParkFALSE"
0.15,"4de88051-0d80-419d-ae7d-89dcce5f6baa","UNC","Sigmoid colon","COAD","Illumina","Greater Poland Cancer Center",FALSE,"55152e7e-0993-4a3a-8a7f-31186ff5c12d","Greater Poland Cancer CenterFALSE"
0.15,"51932ec0-8c19-4c51-89ee-445e9a84c913","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"8340b6b6-7eb7-4af3-b32e-0a4a4dbf1094","Christiana HealthcareFALSE"
0.14,"73715275-7798-4bfa-b916-d52642b8d83d","UNC","Rectosigmoid junction","COAD","Illumina","MSKCC",FALSE,"b4114885-38cd-4e8a-874b-b78da8d95e2c","MSKCCFALSE"
0.14,"3c6c8465-a13d-4dbe-bf55-92dd423f9f8f","UNC","Colon, NOS","COAD","Illumina","Greater Poland Cancer Center",FALSE,"ab4198d6-1be0-4ba3-9a0f-f5c8daffcf6e","Greater Poland Cancer CenterFALSE"
0.15,"060ece5e-6a9f-4146-869f-153e5ef7dbcd","UNC","Sigmoid colon","COAD","Illumina","University of Pittsburgh",FALSE,"90e86a26-fffa-4c38-b2e0-bf0704ee3615","University of PittsburghFALSE"
0.15,"69fffc3d-f1af-450f-a1a9-979111aee040","UNC","Cecum","COAD","Illumina","Christiana Healthcare",FALSE,"cafebbf2-9dea-439a-8788-25478f233a57","Christiana HealthcareFALSE"
0.13,"397f6726-1b1a-43c8-a021-6764588728f9","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","Indivumed",FALSE,"b4f3dbbb-2686-4896-9e60-5bef6c9150b4","IndivumedFALSE"
0.16,"5fb32663-921c-4e35-a3d2-a7f7ae7c0d9f","UNC","Ascending colon","COAD","Illumina","International Genomics Consortium",FALSE,"aa9c558a-420b-41db-92be-0ea1dd3f98b2","International Genomics ConsortiumFALSE"
0.17,"2973bfcb-7c87-431d-adb0-4990436cb3ca","UNC","Rectosigmoid junction","COAD","Illumina","Harvard",FALSE,"b27da518-d023-4f9c-a9ab-5cd68ee37870","HarvardFALSE"
0.15,"3c0e5d60-4dd9-437b-834f-536208a0fb1d","UNC","Ascending colon","COAD","Illumina","Indivumed",FALSE,"cefecff2-c5a5-468f-a820-e266815f435e","IndivumedFALSE"
0.16,"25b9e5c8-514c-48d9-be40-a5644b7b99f9","UNC","Sigmoid colon","COAD","Illumina","Indivumed",FALSE,"97203684-07bb-4f3e-a5be-7c3780c0ec30","IndivumedFALSE"
0.18,"7118e5f9-0eac-4a54-be8d-982e4d405164","UNC","Rectosigmoid junction","COAD","Illumina","Christiana Healthcare",TRUE,"2143273e-c472-41ce-909e-6edade2e22aa","Christiana HealthcareTRUE"
0.13,"a6a8865c-75c3-4107-8391-41ac287fd126","UNC","Colon, NOS","COAD","Illumina","Christiana Healthcare",FALSE,"2b5b2b73-4593-48ed-aa54-bba92d5579cd","Christiana HealthcareFALSE"
0.16,"e4702c44-6404-47e4-8681-9c4fdb578cf7","UNC","Corpus uteri","COAD","Illumina","MSKCC",FALSE,"7af900ab-0a1a-471e-89a2-f887e2dcf433","MSKCCFALSE"
0.15,"b509051b-8742-434c-83e0-96f4d67ca801","UNC","Ascending colon","COAD","Illumina","Indivumed",FALSE,"c55a82b0-0604-48da-9ec9-eeb4be48e7e6","IndivumedFALSE"
0.13,"86b72e80-9135-4951-b5b3-1e10bccc7412","UNC","Cecum","COAD","Illumina","Greater Poland Cancer Center",FALSE,"7b8c5542-abfd-4182-8909-59c079f190f1","Greater Poland Cancer CenterFALSE"
0.15,"75cf302b-e2eb-4334-a78e-806f6a889bfa","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"47554e4e-cd13-4b92-80be-e1940f9a950f","Christiana HealthcareFALSE"
0.15,"45a06d41-9be1-486f-a2a4-c33ce4a6328a","UNC","Retroperitoneum","COAD","Illumina","MSKCC",FALSE,"b454109c-8d98-428a-a066-9e680be72a59","MSKCCFALSE"
0.15,"90abad6a-d6cd-47eb-bc0f-c5fb83d9b768","UNC","Rectosigmoid junction","COAD","Illumina","Asterand",FALSE,"2fd9788b-9efd-44b0-b9a4-82b32118f85f","AsterandFALSE"
0.14,"da61c732-293d-41aa-821c-caba4b248276","UNC","Sigmoid colon","COAD","Illumina","Christiana Healthcare",FALSE,"b64520cd-55c9-46d8-aa01-3f6910237ad4","Christiana HealthcareFALSE"
0.15,"3172233b-064c-49e7-81e4-e1fa38556c59","UNC","Rectosigmoid junction","COAD","Illumina","Indivumed",FALSE,"5590c0ff-7bb7-4cf0-b46b-cece01505f7f","IndivumedFALSE"
0.16,"deefeb05-9e7d-4373-94cc-ddd06dab12fc","UNC","Retroperitoneum","COAD","Illumina","Asterand",FALSE,"b8c86a28-1b3a-436a-9e4e-f9ebe202a0b0","AsterandFALSE"
0.16,"1ec4cf4e-ef14-4554-b3a7-a28ab51a9610","UNC","Cecum","COAD","Illumina","MSKCC",FALSE,"755aeaf1-828c-457d-a99e-31f1254e8d6e","MSKCCFALSE"
0.15,"1322abdc-d1c1-456e-8715-b3050f4615a8","UNC","Colon, NOS","COAD","Illumina","MSKCC",FALSE,"6f85a911-614e-4e07-91c4-39c1a777bb40","MSKCCFALSE"
0.15,"1bedf783-74c2-40f6-9ea4-7911899fcb9e","UNC","Retroperitoneum","COAD","Illumina","Roswell Park",FALSE,"9ff11fe0-037c-405e-95c3-dc4a15413db8","Roswell ParkFALSE"
0.16,"f6e347c7-3d92-4ec3-be7d-806509944b68","UNC","Retroperitoneum","COAD","Illumina","Asterand",FALSE,"a47b2410-0096-4947-a15c-78b7d83f0de0","AsterandFALSE"
0.16,"94a4faf1-30d0-41f0-a9c3-40932c0d157d","UNC","Sigmoid colon","COAD","Illumina","MSKCC",FALSE,"14e84318-8784-4eb0-ad64-3732654bcab6","MSKCCFALSE"
0.15,"950770cf-887a-48d3-836a-93aa74fda7db","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","Indivumed",FALSE,"2d40fd56-98db-4360-a8ce-7e5b12f5cb84","IndivumedFALSE"
0.16,"d350e93b-146a-4c0b-8143-cfcb8bd6c5b6","UNC","Connective, subcutaneous and other soft tissues of lower limb and hip","COAD","Illumina","University of Pittsburgh",FALSE,"d09b3ae4-3d3c-4fd5-8a5d-b14dd31bbb33","University of PittsburghFALSE"
